main_category|sub_category|channel|description
information|economy/politics/society affairs|PLAY4|DE VERKIEZINGSTAFEL
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 4 SAINT-GERMAIN-LAVAL>NEULISE
entertainment|variety|VTM|DEVILTIME
knowledge|human interest/society|VRT 1|MARTIN CLUNES, ISLANDS OF THE PACIFIC
information|economy/politics/society affairs|VTM|HET GROTE DEBAT
entertainment|variety|PLAY4|DON'T WORRY, BE HAPPY
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 3 CELLES-SUR-DUROLLE>LES ESTABLES
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 2 GANNAT>COL DE LA LOGE
sport|all sports|PLAY4|DE SPOR
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 1 SAINT-POURCAIN-SUR-SIOULE>SAINT-PO
sport|cycling (road)|VRT 1|WIELRENNEN. BRUSSELS CYCLING CLASSIC
fiction|action|PLAY4|THE NORTHMAN
sport|football|VTM2|VB. C1 UEFA FIN - DORTMUND/R. MADRID
fiction|adventure|VTM|TITANIC
lifestyle|human interest/society|VTM|HELDEN VAN HIER, DE KUST
information|economy/politics/society affairs|VRT CANVAS|HET EUROPEES DEBAT
fiction|popular drama/comedy|PLAY4|NONKELS
knowledge|humanities/history|VRT CANVAS|CARNAC, THE NEOLITHIC LOST KINGDOM
sport|football|VRT CANVAS|VB. C4 UEFA FIN - OLYMPIAKOS/FIORENTINA
information|economy/politics/society affairs|VTM|HET GROTE DUEL
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. JUPILER PRO LEAGUE - CLUB BRUGGE - CERCLE BRUGGE
sport|formula 1|VRT 1|F1. WK. GP. MONACO (S.)
fiction|thriller|PLAY4|MEMORY
fiction|adventure|VTM2|ROBIN HOOD
fiction|fantasy/fairy tale|VTM|ALADDIN
entertainment|game|PLAY4|JUNIOR BAKE OFF VLAANDEREN
sport|cycling (road)|VTM|WIELRENNEN. GIRO
fiction|psychologic drama/melodrama|VRT CANVAS|FACE TO FACE
entertainment|music|VTM|SING AGAIN
fiction|action|PLAY4|GODZILLA VS. KONG
fiction|psychologic drama/melodrama|VRT CANVAS|DISOBEDIENCE
entertainment|variety|VRT 1|AMAI ZEG WAUW
lifestyle|cooking/food/drink|PLAY4|OLGA KOOKT NIET
sport|football|VRT CANVAS|VB. C3 UEFA FIN - ATALANTA/LEVERKUSEN
knowledge|human interest/society|VRT 1|DURF TE VRAGEN
knowledge|nature/environment|VRT 1|DOOR DE BOMEN
fiction|popular drama/comedy|PLAY4|BOMPA BOCKIE
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. JUPILER PRO LEAGUE - RSC ANDERLECHT - CLUB BRUGGE
sport|formula 1|VRT 1|F1. WK. GP. ITALIE (S.)
lifestyle|gardening|VRT 1|GROEIEN & BLOEIEN
fiction|psychologic drama/melodrama|VRT 1|CLOSE TO ME
fiction|psychologic drama/melodrama|VRT CANVAS|CAROL
entertainment|humor|VRT CANVAS|COMEDY CASINO
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. JUPILER PRO LEAGUE - CLUB BRUGGE - R. UNION ST.-G.
lifestyle|human interest/society|VTM|FAMILIES XXL
fiction|thriller|VRT CANVAS|REYKA
fiction|police|VRT 1|THE BROKENWOOD MYSTERIES
fiction|police|VTM|DE BUURTPOLITIE
sport|cycling (road)|VTM|WIELRENNEN. GIRO - RIT 7 FOLIGNO>PERUGIA
knowledge|economy/business|VRT CANVAS|FRONTLINIE
sport|football|VRT 1|VB. BB. FIN - UNION/ANTWERPEN
fiction|police|VTM|ASPE
sport|football|VRT CANVAS|VB. C4 UEFA 1/2F - CL.BRUGGE/FIORENTINA
sport|football|VTM2|VB. C1 UEFA 1/2F - R.MADRID/BAYERN
entertainment|music|VRT 1|MUSTII, DE WEG NAAR MALMO
entertainment|other entertainment|VRT 1|CLIP(S)
sport|football|VTM2|VB. C1 UEFA 1/2F - PARIS-ST-G./DORTMUND
knowledge|human interest/society|VRT CANVAS|OP EEN ANDER
knowledge|modern music/dance|VRT 1|ABBA, AGAINST THE ODDS
sport|cycling (road)|VTM|WIELRENNEN. GIRO - RIT 2 SAN FRANCESCO AL CAMPO>SANTUARIO D
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. JUPILER PRO LEAGUE - R. UNION ST.-G. - RSC ANDERLECHT
sport|cycling (cross)|VRT 1|WIELRENNEN. BK. GRAVEL (S.)
sport|cycling (road)|VTM|WIELRENNEN. GIRO - RIT 1 VENARIA REALE>TORINO
fiction|action|VTM2|BLACK WIDOW
fiction|psychologic drama/melodrama|VRT CANVAS|TRIANGLE OF SADNESS
sport|football|VRT CANVAS|VB. C4 UEFA 1/2F - FIORENTINA/CL.BRUGGE
entertainment|game|VTM|BLIND GESPRONGEN
sport|football|VTM2|VB. C1 UEFA 1/2F - DORTMUND/PARIS-ST-G.
sport|football|VTM2|VB. C1 UEFA 1/2F - BAYERN/R.MADRID
fiction|thriller|VTM|DE KRAAK
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. JUPILER PRO LEAGUE - KRC GENK - CLUB BRUGGE
knowledge|nature/environment|VRT CANVAS|CHERNOBYL, THE NEW EVIDENCE
entertainment|music|VTM|THE VOICE VAN VLAANDEREN
fiction|police|VRT 1|VERA
entertainment|game|VTM|GESTRAND OP HONEYMOON ISLAND
fiction|psychologic drama/melodrama|VRT CANVAS|IL TRADITORE
entertainment|game|VRT 1|RESTAURANT MISVERSTAND
knowledge|humanities/history|VRT CANVAS|HIER EN TOEN
fiction|thriller|VTM|DE KASTEELMOORD
entertainment|game|VTM2|GESTRAND OP HONEYMOON ISLAND
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. JUPILER PRO LEAGUE - R. UNION ST.-G. - CLUB BRUGGE
fiction|action|VTM2|AMERICAN ASSASSIN
fiction|police|VTM3|ASPE
sport|football|VRT CANVAS|VB. C4 UEFA 1/4F - PAOK/CL.BRUGGE
sport|football|VTM2|VB. C1 UEFA 1/4F - MANCHESTER C./R.MADRID
lifestyle|miscellaneous|VTM|HET ONBEKENDE
knowledge|human interest/society|VRT CANVAS|ALS JE EENS WIST
knowledge|nature/environment|VRT CANVAS|WILDERNESS WITH SIMON REEVE
fiction|psychologic drama/melodrama|VRT CANVAS|BAD BEHAVIOUR
fiction|thriller|VRT CANVAS|STEELTOWN MURDERS
knowledge|nature/environment|VRT 1|INSIDE EDINBURGH ZOO
fiction|psychologic drama/melodrama|VRT CANVAS|LA PLACE D'UNE AUTRE
fiction|action|VTM2|THE HITMAN'S BODYGUARD
sport|football|VRT CANVAS|VB. C4 UEFA 1/4F - CL.BRUGGE/PAOK
entertainment|humour|VRT 1|GEUB
knowledge|humanities/history|VRT CANVAS|HET PROCES DAT NIEMAND WOU
information|current affair|VTM|MOORDZAKEN, LEVENSLANG
sport|football|VTM2|VB. C1 UEFA 1/4F - PARIS-ST-G./FC.BARCELONA
knowledge|humanities/history|VRT CANVAS|WIJ ZIJN EUROPA
fiction|popular drama/comedy|VRT 1|JULIET
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. JUPILER PRO LEAGUE - CLUB BRUGGE - RSC ANDERLECHT
knowledge|nature/environment|VRT 1|WILD FAR EAST
knowledge|human interest/society|VTM|ONS DNA
fiction|adventure|VTM3|CALL OF THE WILD
sport|football|VRT 1|VB. EK. KWALIF. D. - BELGIE/SPANJE
fiction|action|VTM2|DEN OF THIEVES
fiction|psychologic drama/melodrama|VRT CANVAS|MADRES PARALELAS
fiction|police|VRT 1|HETERDAAD
knowledge|medecin/health|VRT 1|KOM OP TEGEN KANKER, ALLES IN DE STRIJD
knowledge|nature/environment|VRT 1|WILD HORSES
information|current affair|VTM|HELDEN VAN HIER, DOOR HET VUUR
fiction|fantasy/fairy tale|VTM4|THE FLINTSTONES
sport|football|VTM|VB. VRIEND - ENGELAND/BELGIE
sport|football|VTM|VB. VRIEND - IERLAND/BELGIE (1HT)
sport|football|VTM2|VB. VRIEND - IERLAND/BELGIE (2HT)
knowledge|nature/environment|VRT 1|WILD NEDERLAND
knowledge|nature/environment|VRT 1|INSIDE TARONGA ZOO
fiction|thriller|VRT CANVAS|THE NIGHT CALLER
sport|cycling (road)|VRT 1|WIELRENNEN. E3 SAXO BANK CLASSIC
fiction|psychologic drama/melodrama|VRT CANVAS|NOWHERE SPECIAL
sport|cycling (road)|VRT 1|WIELRENNEN. CLASSIC BRUGGE-DE PANNE D.
sport|figure skating|VRT 1|KUNSTSCHAATSEN. WK. KORTE KUR (S.)
knowledge|economy/politics/society affairs|VRT CANVAS|PUTIN & THE WEST
lifestyle|miscellaneous|VRT 1|GEWOON BUITENGEWOON
sport|other auto sports|VRT 1|AUTO. RALLY BK. SOUTH BELGIAN (S.)
knowledge|nature/environment|VRT 1|WONDROUS & WILD
fiction|action|VTM2|JOHN WICK, CHAPTER 3
fiction|action|VTM2|THE MISFITS
sport|football|VRT CANVAS|VB. C4 UEFA 1/8F - CL.BRUGGE/MOLDE
fiction|popular soap|VTM|SARA
knowledge|economy/politics/society affairs|VRT CANVAS|HET NIEUWE IJZEREN GORDIJN
sport|basketball|VRT 1|BASKET. BB. FIN H. - MECHELEN/BRAINE
lifestyle|show business/variety/stars|PLAY4|CHATEAU MEILAND
sport|other sports|VTM2|DARTS. BLAKLADER OPEN
sport|basketball|VRT 1|BASKET. BB. FIN H. - CHARLEROI/LIMBURG
knowledge|human interest/society|VRT 1|REASONS TO LOVE
lifestyle|travel/tourism|VRT 1|GINO'S ITALIAN EXPRESS
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 6 SISTERON>LA COLLE-SUR-LOUP
fiction|psychologic drama/melodrama|VRT CANVAS|GREEN BOOK
sport|football|VRT CANVAS|VB. C4 UEFA SCHIFT - UNION ST-GILLOISE/FENERBAHCE
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 5 SAINT-SAUVEUR-DE-MONTAGUT>SISTERON
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 4 CHALON-SUR-SAONE>MONT BROUILLY
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 3 AUXERRE>AUXERRE
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 2 THOIRY>MONTARGIS
entertainment|game|VRT 1|KAMP WAES
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-NICE - RIT 1 LES MUREAUX>LES MUREAUX
sport|cycling (road)|VRT 1|WIELRENNEN. GP. MONSERE
sport|hockey|VRT 1|HOCKEY. ION LEAGUE - LEOPOLD/GANTOISE
sport|other sports|VTM2|DARTS. UK OPEN
sport|formula 1|VRT 1|F1. WK. GP. BAHRAIN (S.)
sport|cycling (road)|VRT 1|WIELRENNEN. STRADE BIANCHE H.
sport|cycling (road)|VRT 1|WIELRENNEN. STRADE BIANCHE D.
fiction|action|VTM|NO TIME TO DIE
knowledge|nature/environment|VRT 1|CANADA, SURVIVING THE WILD NORTH
sport|cycling (road)|VRT CANVAS|WIELRENNEN. STRADE BIANCHE D.
lifestyle|cooking/food/drink|VRT 1|JAMIE'S AMERICAN ROAD TRIP
fiction|fantasy/fairy tale|PLAY4|HOUSE OF THE DRAGON
sport|basketball|VRT CANVAS|VB. BB. 1/2F - ANTWERP/OOSTENDE
entertainment|game|VTM|WAT ZOU JIJ DOEN?
information|human interest/society|VTM|ALLOO IN DE BUITENLANDSE GEVANGENIS
sport|football|VTM2|VB. BB. 1/2F - UNION ST-GILLOISE/CL.BRUGES
entertainment|love/dating|VRT 1|HOTEL ROMANTIEK
entertainment|game|PLAY4|DE EXPEDITIE, GROENLAND
sport|basketball|VRT 1|BASKET. EK. KWALIF H. - BELGIE/SPANJE
knowledge|nature/environment|VRT 1|WHITE WINTER, A SEASON ON THE NORTHERN ALPINE RIM
fiction|action|VTM|SPECTRE
lifestyle|show business/variety/stars|VTM|REGI GAAT TROUWEN
fiction|police|VTM|DE BUURTPOLITIE, VIPS
sport|football|VRT CANVAS|VB. C4 UEFA SCHIFT - EINTRACHT FRANKURT/UNION ST-GILLOISE
lifestyle|show business/variety/stars|VTM2|ASTRID EN NATALIA BACK TO REALITY
fiction|popular drama/comedy|VTM|DE ZONEN VAN VAN AS
knowledge|human interest/society|VRT 1|PERFECT PARENTING
fiction|thriller|VRT CANVAS|THE CAPTURE
information|current affair|VRT CANVAS|NAVALNY
fiction|police|VTM3|ASPE, DE MIDASMOORDEN
knowledge|other knowledge|VRT 1|FRANCISCO DESIR
sport|football|VTM2|VB. C1 UEFA 1/8F - PARIS-ST-G./R.SOCIEDAD
sport|basketball|VRT 1|BASKET. OLYMPISCH KWALIF. D. - BELGIE/NIGERIA
knowledge|nature/environment|VRT 1|AMERICA'S ARCTIC, A REFUGE IMPERILED
fiction|action|VTM|QUANTUM OF SOLACE
fiction|psychologic drama/melodrama|VRT 1|THE ETRUSCAN SMILE
sport|basketball|VRT 1|BASKET. OLYMPISCH KWALIF. D. - BELGIE/SENEGAL
sport|basketball|VRT CANVAS|BASKET. OLYMPISCH KWALIF. D. - VERENIGDE STATEN/BELGIE
sport|football|VTM2|VB. BB. 1/2F - CL.BRUGGE/UNION ST-GILLOISE
sport|cycling (cross)|VRT 1|VELDRIJDEN. MALDEGEM H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. MALDEGEM D.
knowledge|classical arts|VRT CANVAS|MAESTRO DEGAND
information|current affair|VRT CANVAS|OORLOGSREPORTERS
sport|cycling (cross)|VRT 1|VELDRIJDEN. WK. TABOR - ELITE H.
sport|athletics (track/piste)|VRT 1|ATLETIEK. FLANDERS INDOOR GENT
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. WK. TABOR U23 D.
sport|cycling (cross)|VRT 1|VELDRIJDEN. WK. TABOR - ELITE D.
sport|cycling (cross)|VRT 1|VELDRIJDEN. WK. TABOR U23 H.
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. WK. TABOR U23 H.
knowledge|nature/environment|VRT 1|GALAPAGOS
sport|cycling (cross)|VRT 1|VELDRIJDEN. WK. TABOR - JUNIOREN D.
fiction|popular drama/comedy|VRT 1|EIGEN KWEEK
sport|cycling (cross)|VRT 1|VELDRIJDEN. WK. TABOR - MIXED TEAM RELAY
knowledge|human interest/society|VRT 1|ZORGEN VOOR MAMA
sport|cycling (cross)|VRT 1|VELDRIJDEN. HOOGERHEIDE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. HOOGERHEIDE D.
lifestyle|travel/tourism|VRT 1|ZUID-AFRIKA MET GREGG WALLACE
entertainment|variety|VRT 1/VTM/Play4|KASTAARS!
entertainment|game|PLAY5|BIG BROTHER
fiction|police|VRT 1|DALGLIESH
sport|football|VTM2|VB. BB. 1/4F - UNION SINT-GILLIS/ANDERLECHT
information|human interest/society|VTM|LEVEN NA KIM DE GELDER
sport|cycling (cross)|VRT 1|VELDRIJDEN. WB. BENIDORM
fiction|other fiction|PLAY4|DOG
sport|cycling (cross)|VRT 1|VELDRIJDEN. ZONNEBEKE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. ZONNEBEKE D.
entertainment|variety|VRT 1|HET GALA VAN DE GOUDEN K'S
fiction|thriller|VRT CANVAS|THE SUSPECT
knowledge|nature/environment|VRT 1|ANIMALS WITH CAMERAS
fiction|action|VTM|MEN IN BLACK, INTERNATIONAL
entertainment|variety|VTM|STARSTRUCK
fiction|popular drama/comedy|VRT 1|DE MAAGDENCLUB
sport|football|VRT CANVAS|VB. BK - GENT/CL.BRUGGE
sport|cycling (cross)|VRT 1|VELDRIJDEN. BK. MEULEBEKE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. BK. MEULEBEKE - BELOFTEN H.
sport|cycling (track/piste)|VRT 1|BAANWIELRENNEN. EK. APELDOORN D.
fiction|police|VTM|COLUMBO
sport|cycling (cross)|VRT 1|VELDRIJDEN. MEULEBEKE D.
entertainment|humour|VRT 1|OESJE!
sport|cycling (cross)|VRT 1|VELDRIJDEN. MEULEBEKE H.
fiction|action|VTM2|THE ICE ROAD
lifestyle|show business/variety/stars|VRT 1|ZIE ONS DOEN
fiction|popular drama/comedy|VTM2|PRETTY WOMAN
fiction|psychologic drama/melodrama|PLAY4|STILLWATER
entertainment|music|VRT 1|WILL TURA NODIGT UIT
lifestyle|show business/variety/stars|VRT 1|RIK VAN LOOY 90
knowledge|photo/film/cinema|VRT CANVAS|THE PRINCESS
lifestyle|travel/tourism|VRT 1|OP WEG MET JAN
sport|cycling (cross)|VRT 1|VELDRIJDEN. ZONHOVEN
fiction|thriller|VRT CANVAS|LANDSCAPERS
fiction|popular drama/comedy|VTM|CINDERELLA
entertainment|variety|VRT 1|WINTER WONDERLAND
fiction|police|VRT 1|ANNIKA
entertainment|humour|VRT CANVAS|XANDER DE RYCKE HOUDT HET VOOR BEKEKEN 2023
entertainment|music|VTM|METEJOOR IN HET SPORTPALEIS
fiction|science fiction|PLAY4|THE TOMORROW WAR
sport|other equestrian sports|VRT 1|PAARDENSPORT. JUMPING MECHELEN
lifestyle|show business/variety/stars|VTM|IK BEN CAMILLE
lifestyle|show business/variety/stars|VTM|ALLOO BIJ...
fiction|police|VTM|CHICAGO P.D.
entertainment|variety|VTM|MIJN BESTE KERST OOIT
sport|cycling (cross)|VRT 1|VELDRIJDEN. BAAL
sport|cycling (cross)|VRT 1|MOUNTAINBIKE. BK. BREDENE (S.)
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. GP. SVEN NYS - ELITE D.
entertainment|music|VRT 1|#LIKEME IN CONCERT 3
entertainment|humour|VTM|MR. BEAN
fiction|adventure|VRT 1|NIGHT AT THE MUSEUM
entertainment|music|VRT CANVAS|QUEEN, HUNGARIAN RHAPSODY, LIVE IN BUDAPEST
knowledge|photo/film/cinema|VRT CANVAS|PINK FLOYD, THE STORY OF WISH YOU WERE HERE
fiction|thriller|PLAY4|THE GOOD LIAR
sport|cycling (cross)|VRT 1|VELDRIJDEN. HULST H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. HULST D.
fiction|action|VRT 1|GLADIATOR
knowledge|nature/environment|VRT 1|PENGUINS, MEET THE FAMILY
fiction|psychologic drama/melodrama|VRT CANVAS|HONOUR
fiction|fantasy/fairy tale|VTM3|THE JUNGLE BOOK
fiction|adventure|VRT CANVAS|THE SISTERS BROTHERS
sport|cycling (cross)|VRT 1|VELDRIJDEN. DIEGEM H.
entertainment|music|VRT 1|MICHAEL BUBLE'S CHRISTMAS IN THE CITY
information|special event|VRT 1|2023, HET JAAR VAN WATER EN VUUR
sport|cycling (cross)|VRT 1|VELDRIJDEN. HEUSDEN-ZOLDER (S.)
knowledge|human interest/society|VTM2|DE GEVAARLIJKSTE JOBS VAN VLAANDEREN
entertainment|music|VRT 1|EEN WARME KERST MET BELLE PEREZ
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. JUPILER PRO LEAGUE - CLUB BRUGGE/R. UNION ST.-G.
knowledge|human interest/society|VTM|BOER COPPENS
fiction|action|VTM|CHICAGO FIRE
entertainment|music|VRT 1|THE RAT PACK, CHRISTMAS EDITION
fiction|popular drama/comedy|VRT 1|URBANUS, DE VUILNISHELD
knowledge|philosophy/religion|VRT 1|EREDIENST
fiction|fantasy/fairy tale|VRT 1|ICE AGE
fiction|popular drama/comedy|VTM|JINGLE ALL THE WAY
knowledge|nature/environment|VRT CANVAS|PLANET EARTH 3
entertainment|game|PLAY4|BAKE OFF VLAANDEREN KERST
knowledge|classical arts|VRT CANVAS|PAVAROTTI
sport|cycling (cross)|VRT 1|VELDRIJDEN. BK. ANTWERPEN H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. BK. ANTWERPEN D.
knowledge|nature/environment|VRT 1|DOGS IN THE WILD
fiction|fantasy/fairy tale|VRT 1|THE HOBBIT, THE BATTLE OF THE FIVE ARMIES
fiction|popular drama/comedy|VTM|MIRACLE ON 34TH STREET
fiction|police|VTM|DE BUURTPOLITIE, DE KLOK TIKT
entertainment|travel|VTM|JACQUES EN URBAIN OP WERELDTOURNEE
fiction|thriller|PLAY4|STORM LARA
information|communication/message|VRT 1|START GEMIST
entertainment|game|VTM|SNACKMASTERS
information|special event|VRT 1|FILIP, EEN JAAR MET DE KONING DER BELGEN
information|special event|VRT 1|DE WARMSTE MAANDAG
fiction|thriller|VRT 1|ROUGH DIAMONDS
entertainment|variety|VTM|HET BESTE VAN 2023
knowledge|nature/environment|VRT 1|LE JARDIN EXTRAORDINAIRE
fiction|fantasy/fairy tale|VRT 1|THE HOBBIT, THE DESOLATION OF SMAUG
fiction|thriller|VRT 1|GRACE
entertainment|talk|VRT CANVAS|ALLEEN ELVIS BLIJFT BESTAAN
fiction|science fiction|PLAY4|DUNE
sport|football|VRT CANVAS|VB. C3 UEFA SCHIFT - UNION ST-GILLOISE/LIVERPOOL
sport|football|PLAY5|VB. C4 UEFA EUROPA CONFERENCE LEAGUE - CL.BRUGGE/BODOGLIMT
sport|football|VTM2|VB. C1 UEFA SCHIFT - ROYAL ANTWERP FC/FC.BARCELONA
sport|athletics (field/cross)|VRT 1|VELDLOPEN. BK. LAKEN H.
sport|athletics (field/cross)|VRT 1|VELDLOPEN. LAKEN - BELOFTEN D.
sport|athletics (field/cross)|VRT 1|VELDLOPEN. LAKEN - BELOFTEN H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. ESSEN - ELITE D.
fiction|fantasy/fairy tale|VRT 1|THE HOBBIT, AN UNEXPECTED JOURNEY
sport|football|VRT CANVAS|VB. BB. 1/8F - ANDERLECHT/STANDARD
fiction|popular drama/comedy|VRT 1|MIRAKEL N.71
sport|football|VTM2|VB. BB. 1/8F - CL.BRUGGE/ZULTE WAREGEM
knowledge|photo/film/cinema|VRT 1|HET LAATSTE PORTRET
sport|cycling (cross)|VRT 1|VELDRIJDEN. FLAMANVILLE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. FLAMANVILLE D.
fiction|popular soap|VRT 1|DAG & NACHT
sport|football|VRT 1|VB. EK. LOTING
fiction|thriller|VRT CANVAS|THE UNDECLARED WAR
sport|cycling (cross)|VRT 1|VELDRIJDEN. BOOM (S.)
fiction|police|VRT 1|MCDONALD & DODDS
sport|football|VRT CANVAS|VB. C4 UEFA SCHIFT - FIORENTINA/GENK
sport|football|VTM2|VB. C1 UEFA SCHIFT - SHAKTAR/ANTWERP
knowledge|nature/environment|VRT 1|HOMMES, ANIMAUX, NATURE
sport|formula 1|VRT 1|F1. WK. GP. ABU DHABI (S.)
sport|cycling (cross)|VRT 1|VELDRIJDEN. KORTRIJK H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. KORTRIJK D.
entertainment|game|VTM|THE VOICE KIDS
fiction|police|VRT 1|ENDEAVOUR
fiction|police|PLAY5|THE SPENCER SISTERS
sport|football|VTM|VB. EK. KWALIF - BELGIE/AZERBAIJAN
sport|football|VTM2|VB. EK. KWALIF - BELGIE/AZERBAIJAN
sport|cycling (cross)|VRT 1|VELDRIJDEN. TROYES H. (S.)
sport|other sports|VTM2|DARTS. GRAND SLAM OF DARTS
sport|cycling (cross)|VRT 1|VELDRIJDEN. SUPERPRESTIGE. MERKSPLAS - BELOFTEN H.
fiction|popular drama/comedy|VTM|THE BIG BANG
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. SUPERPRESTIGE. MERKSPLAS H.
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. SUPERPRESTIGE. MERKSPLAS D.
sport|football|VTM|VB. VRIEND - BELGIE/SERVIE
knowledge|medecin/health|VRT 1|KINDERZIEKENHUIS 24/7
sport|cycling (cross)|VRT 1|VELDRIJDEN. WB. DENDERMONDE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. WB. DENDERMONDE D.
sport|basketball|VRT 1|BASKET. EK. KWALIF D. - AZERBEIDZJAN/BELGIE
entertainment|game|VRT 1|#WEETIKVEEL
knowledge|humanities/history|VRT CANVAS|VIKINGS, THE RISE & FALL
fiction|thriller|VRT CANVAS|BLACKWATER
sport|cycling (cross)|VRT 1|VELDRIJDEN. SUPERPRESTIGE. NIEL H. (S.)
fiction|thriller|PLAY5|CRIMINAL MINDS, EVOLUTION
knowledge|human interest/society|VRT 1|DE JAREN 90 VOOR TIENERS
sport|football|VRT CANVAS|VB. C4 UEFA SCHIFT - CL.BRUGGE/LUGANO
knowledge|nature/environment|VRT 1|WILD ORPHAN RESCUE
information|economy/politics/society affairs|VRT 1|GELD GEZOCHT
sport|football|VTM2|VB. C1 UEFA SCHIFT - PORTO/ANTWERP
sport|cycling (cross)|VRT 1|VELDRIJDEN. EK. PONT-CHATEAU H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. EK. PONT-CHATEAU D. - ELITE
sport|cycling (cross)|VRT 1|VELDRIJDEN. EK. PONT-CHATEAU H. - BELOFTEN
sport|cycling (cross)|VRT 1|VELDRIJDEN. EK. PONT-CHATEAU D. - BELOFTEN
fiction|popular drama/comedy|VRT 1|BOOMER
entertainment|humour|VTM|JACQUES VERMEIRE, 5 VOOR 12
lifestyle|home/decorating|VRT 1|ESCAPE TO THE CHATEAU
sport|football|VRT 1|VB. BB. 1/16F - LIERSE/ANTWERPEN
sport|football|VTM2|VB. BB. 1/16F - BEERSCHOT/CL.BRUGGE
knowledge|media|VRT 1|70 JAAR TV
entertainment|talk|VTM|EXEN
fiction|thriller|VRT 1|WAAR IS ELKE WEVERS?
entertainment|game|PLAY4|KLOPJACHT
sport|hockey|VRT 1|HOCKEY. ION LEAGUE (S.) - BRAXGATA/VICTORY
fiction|action|VTM|RED
sport|football|VRT CANVAS|VB. C4 UEFA SCHIFT - GENK/FERENCVAROS
sport|football|PLAY5|VB. C4 UEFA SCHIFT - LUGANO/CL.BRUGGE
sport|football|VTM2|VB. C1 UEFA SCHIFT - ANTWERP/PORTO
lifestyle|miscellaneous|VTM2|DE VUILSTE JOBS VAN VLAANDEREN
fiction|thriller|VRT 1|DE TWAALF
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. JUPILER PRO LEAGUE - Standard de Liege/RSC Anderlecht
fiction|action|VTM3|JOHN RAMBO
sport|tennis|VRT 1|TENNIS. EUROPEAN OPEN FIN.
fiction|popular soap|VTM|LISA
fiction|thriller|VRT CANVAS|DON'T LEAVE ME
information|current affair|VTM|VAN ROSSEM
knowledge|human interest/society|VRT CANVAS|HET DORP ACHTER DE MUUR
sport|football|VTM|VB. EK. KWALIF - BELGIE/ZWEDEN
knowledge|humanities/history|VRT 1|DIANA
information|current affair|VRT CANVAS|CITIZENS AT WAR, A YEAR IN UKRAINE
fiction|action|VTM|THE EQUALIZER 2
sport|football|VTM|VB. EK. KWALIF - OOSTENRIJK/BELGIE
knowledge|nature/environment|VRT CANVAS|VAN PEEL TOT EVENAAR
lifestyle|home/decorating|PLAY4|EXTREME MAKEOVER - VLAANDEREN
lifestyle|mode/lifestyle|VRT CANVAS|DE TATTOO SHOP
knowledge|humanities/history|VRT 1|INTERVIEW MET DE GESCHIEDENIS
sport|cycling (cross)|VRT CANVAS|WIELRENNEN. WK. GRAVEL H.
sport|cycling (road)|VTM|WIELRENNEN. RONDE VAN LOMBARDIJE
sport|football|VRT CANVAS|VB. C3 UEFA SCHIFT - LIVERPOOL/UNION ST-GILLOISE
sport|football|PLAY5|VB. C4 UEFA SCHIFT - BODOGLIMT/FC.BRUGES
sport|football|VTM2|VB. C1 UEFA SCHIFT - ANTWERPEN/SHAKHTAR
fiction|police|VRT 1|FLIKKEN
sport|cycling (cross)|VRT 1|WIELRENNEN. EK. BK. GRAVEL
